fecha,tipo,subtipo,subtipo_normalizado,ciudad,calle,lat,lon
2025-04-30 22:22:35,Policía,,Otro,Lampa,Ignacio Carrera Pinto,-33.286321,-70.871253
2025-04-30 21:59:22,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Lampa,Cacique Colin,-33.279064,-70.864495
2025-04-30 22:02:27,Tráfico,,Otro,Rungue,Los Lirios,-33.009012,-70.889119
2025-04-30 22:06:42,Policía,,Otro,Lampa,Cacique Colin,-33.28343,-70.75845
2025-04-30 22:04:59,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Lampa,Cacique Colin,-33.275819,-70.748371
2025-04-30 22:01:11,Policía,,Otro,Lampa,Cacique Colin,-33.276967,-70.750444
2025-04-30 22:22:03,Policía,,Otro,Lampa,Cacique Colin,-33.278914,-70.754923
2025-04-30 22:24:37,Policía,,Otro,Lampa,Puente Nuevo,-33.275438,-70.764677
2025-04-30 21:53:42,Peligro,HAZARD_WEATHER,Otro,Lampa,Circunvalación Chacabuco Sur,-33.274654,-70.745683
2025-04-30 22:14:47,Tráfico,,Otro,Lampa,Cacique Colin,-33.288967,-70.774509
2025-04-30 21:52:25,Tráfico,,Otro,Lampa,Circunvalación Chacabuco Sur,-33.274513,-70.74523
2025-04-30 21:52:44,Accidente,,Otro,Lampa,Circunvalación Chacabuco Sur,-33.274555,-70.74537
2025-04-30 22:22:13,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Colina,General San Martín,-33.275668,-70.702357
2025-04-30 22:03:53,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Colina,Fontt,-33.2027,-70.675267
2025-04-30 22:11:52,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Colina,General San Martín,-33.239914,-70.697731
2025-04-30 22:15:29,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Chicureo,Caletera Oriente General San Martín,-33.286476,-70.701357
2025-04-30 21:52:42,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Chicureo,Camino Chicureo,-33.285477,-70.700707
2025-04-30 22:10:33,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Chicureo,Camino Chicureo,-33.285487,-70.699827
2025-04-30 21:58:03,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Colina,Pedro Aguirre Cerda,-33.204948,-70.673168
2025-04-30 22:17:03,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Chicureo,Camino Chicureo,-33.285489,-70.698066
2025-04-30 22:18:15,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Colina,La Inmaculada Concepción,-33.204666,-70.672611
2025-04-30 22:03:13,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Colina,Fontt,-33.201269,-70.675191
2025-04-30 22:09:25,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Colina,General San Martín,-33.203766,-70.67543
2025-04-30 21:59:07,Tráfico,,Otro,Chicureo,Caletera Oriente General San Martín,-33.283983,-70.701541
2025-04-30 21:56:34,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Colina,General San Martín,-33.238655,-70.697296
2025-04-30 21:54:17,Tráfico,,Otro,Colina,San Miguel,-33.210861,-70.69589
2025-04-30 22:05:12,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Chicureo,Camino Chicureo,-33.285925,-70.676727
2025-04-30 22:12:07,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Chicureo,Caletera Oriente General San Martín,-33.290173,-70.701489
2025-04-30 21:59:50,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Chicureo,Camino Chicureo,-33.285693,-70.682163
2025-04-30 21:58:47,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Chicureo,Caletera Oriente General San Martín,-33.287881,-70.701472
2025-04-30 21:59:43,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Liray,San Miguel,-33.225696,-70.72055
2025-04-30 22:16:00,Policía,,Otro,Chicureo,Los Ingleses Norte,-33.215379,-70.662805
2025-04-30 21:55:33,Tráfico,,Otro,Chicureo,Camino Chicureo,-33.285417,-70.658085
2025-04-30 21:52:54,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Chicureo,Camino Chicureo,-33.286638,-70.660938
2025-04-30 22:01:30,Peligro,HAZARD_ON_ROAD_POT_HOLE,Hueco,Padre Hurtado,Río Ñuble,-33.574126,-70.807628
2024-11-14 19:06:39,Cierre de camino,ROAD_CLOSED_EVENT,Calle Cerrada,Padre Hurtado,Av. Santa Leonor,-33.562795,-70.807189
2024-11-14 19:06:39,Cierre de camino,ROAD_CLOSED_EVENT,Calle Cerrada,Padre Hurtado,Av. Santa Leonor,-33.560919,-70.809294
2025-04-30 21:54:02,Policía,,Otro,Padre Hurtado,Av. San Ignacio,-33.572001,-70.81793
